food_id,name,name_nepali,category,calories,protein,carbohydrates,fat,fiber,sugar,sodium,serving_size_g,is_vegetarian,is_vegan,is_gluten_free,contains_nuts,contains_dairy,contains_gluten,contains_egg,is_nepali,data_source
45,Bienenstich,Bienenstich,german_dish,298.5,4.8,37.6,14.3,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
46,Lemonade,Lemonade,international_dish,180.0,1.0,32.4,5.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
47,Kimchi,Kimchi,korean_dish,30.0,1.9,7.0,0.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
48,Sour Patch Kids,Sour Patch Kids,international_dish,220.0,1.3,38.5,6.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
49,Grapefruit,Grapefruit,international_dish,49.9,1.0,13.0,0.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
50,Sour Cream,Sour Cream,international_dish,178.1,3.0,15.7,11.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
51,Pickles,Pickles,international_dish,100.6,1.5,12.7,4.6,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
52,Greek Yogurt,Greek Yogurt,greek_dish,140.0,10.5,17.0,4.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
53,Sauerkraut,Sauerkraut,german_dish,40.0,1.6,5.4,1.6,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
54,Vinegar,Vinegar,international_dish,3.0,0.0,0.0,0.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
55,Lime Juice,Lime Juice,international_dish,10.1,0.0,3.0,0.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
56,Sour Cherry,Sour Cherry,international_dish,49.9,1.0,12.0,0.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
57,Tamarind,Tamarind,international_dish,40.0,1.0,10.1,0.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
58,Sour Milk,Sour Milk,international_dish,130.0,3.5,17.0,5.5,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
59,Sour Gummy Worms,Sour Gummy Worms,international_dish,231.1,2.0,34.8,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
60,Sourdough Bread,Sourdough Bread,international_dish,255.3,6.3,54.7,0.8,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
61,Sour Apple,Sour Apple,international_dish,60.0,0.0,15.0,0.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
62,Sour Fish Soup,Sour Fish Soup,international_dish,191.4,12.8,16.2,7.6,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
63,Sour Cream and Onion Chips,Sour Cream and Onion Chips,international_dish,126.0,2.0,13.4,7.2,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
64,Sour Beef Stew,Sour Beef Stew,international_dish,182.4,11.8,16.4,7.6,0,0,0,150,False,False,True,False,False,False,False,True,Calculated_from_USDA
65,Sour Plum,Sour Plum,international_dish,40.0,1.0,10.1,0.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
66,Sour Lemon Drops,Sour Lemon Drops,international_dish,250.4,2.0,38.6,9.1,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
67,Sour Raspberry Jam,Sour Raspberry Jam,international_dish,186.7,1.4,34.0,5.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
68,Sour Cherry Pie,Sour Cherry Pie,international_dish,271.2,4.2,48.0,6.7,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
69,Sour Orange Marmalade,Sour Orange Marmalade,international_dish,140.0,0.7,22.0,5.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
70,Sour Watermelon Slices,Sour Watermelon Slices,international_dish,229.4,2.0,34.3,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
71,Sour Patch Watermelon,Sour Patch Watermelon,international_dish,215.0,1.5,37.5,6.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
72,Sour Patch Strawberries,Sour Patch Strawberries,international_dish,215.0,1.5,37.5,6.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
73,Sour Cherry Lollipops,Sour Cherry Lollipops,international_dish,218.0,1.6,35.4,7.2,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
74,Sour Raspberry Gummies,Sour Raspberry Gummies,international_dish,229.4,2.0,34.3,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
75,Sour Apple Rings,Sour Apple Rings,international_dish,231.1,1.8,34.8,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
76,Sour Blueberry Candy,Sour Blueberry Candy,international_dish,224.0,1.6,36.8,7.2,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
77,Sour Grapefruit Slices,Sour Grapefruit Slices,international_dish,229.4,2.0,34.5,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
78,Sour Strawberry Belts,Sour Strawberry Belts,international_dish,231.1,1.8,34.8,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
79,Sour Peach Rings,Sour Peach Rings,international_dish,232.8,1.8,35.1,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
80,Sour Cola Bottles,Sour Cola Bottles,international_dish,231.1,1.8,34.8,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
81,Sour Lemonade,Sour Lemonade,international_dish,180.0,1.0,32.4,5.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
82,Sour Blue Raspberry Straws,Sour Blue Raspberry Straws,international_dish,200.0,1.3,33.9,6.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
83,Sour Mango Slices,Sour Mango Slices,international_dish,227.8,1.8,34.0,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
84,Sour Pineapple Rings,Sour Pineapple Rings,international_dish,231.1,1.8,34.8,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
85,Sour Grape Slices,Sour Grape Slices,international_dish,227.8,1.8,34.0,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
86,Sour Kiwi Gummies,Sour Kiwi Gummies,international_dish,229.4,2.0,34.3,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
87,Sour Cranberry Candy,Sour Cranberry Candy,international_dish,245.4,2.0,37.4,9.1,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
88,Sour Peach Slices,Sour Peach Slices,international_dish,232.8,1.8,35.1,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
89,Sour Lemon Sherbet,Sour Lemon Sherbet,international_dish,180.0,1.0,32.4,5.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
90,Sour Cherry Licorice,Sour Cherry Licorice,international_dish,206.0,1.8,32.6,7.2,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
91,Sour Apple Lollipops,Sour Apple Lollipops,international_dish,228.0,1.6,37.8,7.2,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
92,Sour Grape Lollipops,Sour Grape Lollipops,international_dish,224.0,1.6,36.8,7.2,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
93,Sour Blue Raspberry Belts,Sour Blue Raspberry Belts,international_dish,226.1,1.8,33.5,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
94,Sour Blackberry Gummies,Sour Blackberry Gummies,international_dish,229.4,2.0,34.3,8.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
95,Classic Potato Chips,Classic Potato Chips,international_dish,110.0,2.0,12.3,6.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
96,Sea Salted Pretzels,Sea Salted Pretzels,international_dish,247.3,5.3,45.9,4.2,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
97,Salted Cashews,Salted Cashews,international_dish,113.3,2.9,10.0,7.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
98,Salted Popcorn,Salted Popcorn,international_dish,146.7,2.0,22.4,5.7,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
99,Salted Roasted Almonds,Salted Roasted Almonds,international_dish,158.7,2.9,18.9,8.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
100,Salted Sunflower Seeds,Salted Sunflower Seeds,international_dish,113.3,3.3,9.7,7.7,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
101,Salted Roasted Peanuts,Salted Roasted Peanuts,international_dish,113.3,3.6,9.3,7.7,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
102,Salted Roasted Pistachios,Salted Roasted Pistachios,international_dish,113.3,3.3,10.0,7.7,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
103,Salted Roasted Macadamia Nuts,Salted Roasted Macadamia Nuts,international_dish,126.7,2.0,8.7,10.3,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
104,Salted Roasted Mixed Nuts,Salted Roasted Mixed Nuts,international_dish,159.2,4.2,14.1,10.2,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
105,Salted Roasted Pecans,Salted Roasted Pecans,international_dish,193.3,3.3,22.4,9.7,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
106,Salted Roasted Hazelnuts,Salted Roasted Hazelnuts,international_dish,116.7,2.3,9.0,8.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
107,Salted Roasted Chicken,Salted Roasted Chicken,international_dish,96.7,3.9,14.3,2.0,0,0,0,150,False,False,True,False,False,False,False,True,Calculated_from_USDA
